Company,Ticker,Exchange,Sector,Market Cap,RIC
Adidas AG,ADS,Frankfurt Stock Exchange,Personal Goods,€29.3bn,ADSGn.DE
Airbus SE,AIR,Euronext Paris,Aerospace & Defence,€99.8bn,AIR.PA
Allianz SE,ALV,Frankfurt Stock Exchange,Life Insurance,€85.3bn,ALVG.DE
Basf SE,BAS,Frankfurt Stock Exchange,Chemicals,€42.3bn,BASFn.DE
Bayer AG,BAYN,Frankfurt Stock Exchange,Pharmaceuticals & Biotechnology,€53.1bn,BAYGn.DE
Bayerische Motoren Werke AG,BMW,Xetra,Automobiles & Parts,€62.6bn,BMWG.DE
Beiersdorf AG,BEI,Frankfurt Stock Exchange,Personal Goods,€31.8bn,BEIG.DE
Brenntag SE,BNR,Frankfurt Stock Exchange,Chemicals,€11.6bn,BNRGn.DE
Continental AG,CON,Frankfurt Stock Exchange,Automobiles & Parts,€13.4bn,CONG.DE
Covestro AG,1COV,Frankfurt Stock Exchange,Construction & Materials,€7.6bn,1COV.DE
Deutsche Bank AG,DBK,Frankfurt Stock Exchange,Banks,€20.1bn,DBKGn.DE
Deutsche Boerse AG,DB1,Frankfurt Stock Exchange,Financial Services,€32.1bn,DBKGn.DE
Deutsche Post AG,DPW,Frankfurt Stock Exchange,Commercial Transportation,€52.5bn,DPWGn.DE
Deutsche Telekom AG,DTE,Frankfurt Stock Exchange,Telecomms,€108.9bn,DTEGn.DE
Deutsche Wohnen SE,DWNI,Frankfurt Stock Exchange,Property,€7.7bn,DWNG.DE
E. On SE,EOAN,Frankfurt Stock Exchange,Electricity,€30.1bn,EONGn.DE
Fresenius Medical Care AG & Co. KGaA,FME,Frankfurt Stock Exchange,Health Care Equipment & Services,€12.6bn,FMEG.DE
Fresenius SE & Co. KGaA,FRE,Frankfurt Stock Exchange,Health Care Equipment & Services,€15.3bn,FREG.DE
HeidelbergCement AG,HEI,Frankfurt Stock Exchange,Construction & Materials,€13.6bn,HEIG.DE
HelloFresh SE,HFG,Frankfurt Stock Exchange,Food and Drug Retailers,€3.8bn,HFGG.DE
Henkel AG & Co. KGAA,HEN,Frankfurt Stock Exchange,Chemicals,€17.9bn,HNKG.DE
Infineon Technologies AG,IFX,Frankfurt Stock Exchange,Technology Hardware & Equipment,€46.8bn,IFXGn.De
Linde Plc,LIN,New York Stock Exchange,Industrial Engineering,$172.3bn,LIN
Mercedes-Benz Group AG,MBG,Frankfurt Stock Exchange,Automobiles & Parts,€76.2bn,MBGn.DE
Merck KGAA,MRK,Frankfurt Stock Exchange,Pharmaceuticals & Biotechnology,€21.5bn,MRCG.DE
MTU Aero Engines AG,MTX,Frankfurt Stock Exchange,Aerospace & Defence,€12.3bn,MTXGn.DE
Muenchener Rueckversicherungs-Gesellschaft AG,MUV2,Frankfurt Stock Exchange,Nonlife Insurance,€45.7bn,MUVGn.DE
Porsche Automobil Holding SE - PRF PERPETUAL EUR 1,PAH3,Frankfurt Stock Exchange,Automobiles & Parts,€8.4bn,PSHG_p.DE
Puma SE,PUM,Frankfurt Stock Exchange,Personal Goods,€7.2bn,PUMG.DE
Qiagen NV,QGEN,New York Stock Exchange,Pharmaceuticals & Biotechnology,$10.5bn,QIA.DE
RWE AG - Class A Shares,RWE,Frankfurt Stock Exchange,Electricity,€27.9bn,RWEG.DE
Sap SE,SAP,Frankfurt Stock Exchange,Software & Computer Services,€151.3bn,SAPG.DE
Sartorius AG - Preference Share,SRT3,Frankfurt Stock Exchange,Pharmaceuticals & Biotechnology,€12.5bn,SATG.DE
Siemens AG,SIE,Frankfurt Stock Exchange,Electronic & Electrical Equipment,€126.2bn,SIEGn.DE
Siemens Energy AG,ENR,Frankfurt Stock Exchange,Energy,€19.2bn,ENR1n.DE
Siemens Healthineers AG,SHL,Frankfurt Stock Exchange,Pharmaceuticals & Biotechnology,€60.4bn,SHLG.DE
Symrise AG,SY1,Frankfurt Stock Exchange,Personal Goods,€14.8bn,SY1G.DE
Volkswagen AG,VOW,Frankfurt Stock Exchange,Automobiles & Parts,€44.6bn,VOWG_p.DE
Vonovia SE,VNA,Frankfurt Stock Exchange,Real Estate Investment & Services,€13.9bn,VNAn.DE
Zalando SE,ZAL,Frankfurt Stock Exchange,Support Services,€8.1bn,ZALG.DE
