No,Ticker,Name,Currency,MarketCap,Price,Query
1,LAND,LAND SECURITIES GROUP PLC ORD 10 2/3P,GBX,"4,682.10",645.4,LAND.L
2,BLND,BRITISH LAND CO PLC ORD 25P,GBX,"3,304.12",363.8,BLND.L
3,HL.,HARGREAVES LANSDOWN PLC ORD 0.4P,GBX,"3,874.23",831.4,HRGV.L
4,MNDI,MONDI PLC ORD EUR 0.20,GBX,"6,263.64","1,309.00",MNDI.L
5,KGF,KINGFISHER PLC ORD 15 5/7P,GBX,"4,679.93",245.1,KGF.L
6,BARC,BARCLAYS PLC ORD 25P,GBX,"24,891.94",162.3,BARC.L
7,SKG,SMURFIT KAPPA GROUP PLC ORD EUR0.001 (CDI),GBX,"7,788.87","3,032.00",SKG.L
8,UTG,UNITE GROUP PLC ORD 25P,GBX,"3,661.13",926,UTG.L
9,JMAT,JOHNSON MATTHEY PLC ORD 110 49/53P,GBX,"3,492.95","1,925.00",JMAT.L
10,VOD,VODAFONE GROUP PLC ORD USD0.20 20/21,GBX,"22,040.79",82.55,VOD.L
11,STAN,STANDARD CHARTERED PLC ORD USD0.50,GBX,"18,420.53",660.2,STAN.L
12,BATS,BRITISH AMERICAN TOBACCO PLC ORD 25P,GBX,"59,899.92","2,706.50",BATS.L
13,OCDO,OCADO GROUP PLC ORD 2P,GBX,"3,334.37",407.5,OCDO.L
14,WTB,WHITBREAD PLC ORD 76 122/153P,GBX,"6,651.91","3,351.00",WTB.L
15,AV.,AVIVA PLC ORD 32 17/19P,GBX,"11,543.32",422.6,AV.L
16,SMT,SCOTTISH MORTGAGE INV TST PLC ORD 5P,GBX,"9,222.72",661.6,SMT.L
17,AAF,AIRTEL AFRICA PLC ORD USD0.50,GBX,"4,370.73",117.4,AAF.L
18,IMB,IMPERIAL BRANDS PLC ORD 10P,GBX,"16,435.10","1,805.50",IMB.L
19,ITRK,INTERTEK GROUP PLC ORD 1P,GBX,"6,720.41","4,199.00",ITRK.L
20,NWG,NATWEST GROUP PLC ORD 107.69P,GBX,"25,739.90",273.8,NWG.L
21,LLOY,LLOYDS BANKING GROUP PLC ORD 10P,GBX,"30,711.54",47.3,LLOY.L
22,SSE,SSE PLC ORD 50P,GBX,"20,394.74","1,884.50",SSE.L
23,NG.,NATIONAL GRID PLC ORD 12 204/473P,GBX,"40,642.18","1,113.00",NG.L
24,SGRO,SEGRO PLC ORD 10P,GBX,"9,974.14",820.4,SGRO.L
25,LGEN,LEGAL & GENERAL GROUP PLC ORD 2 1/2P,GBX,"14,133.05",238.1,LGEN.L
26,PHNX,PHOENIX GROUP HOLDINGS PLC ORD 10P,GBX,"5,824.94",585.8,PHNX.L
27,BEZ,BEAZLEY PLC ORD 5P,GBX,"4,161.14",622,BEZG.L
28,AZN,ASTRAZENECA PLC ORD SHS $0.25,GBX,"186,540.82","12,092.00",AZN.L
29,PSH,PERSHING SQUARE HOLDINGS LTD ORD NPV,GBX,"5,196.96","2,748.00",PSH.AS
30,GSK,GSK PLC ORD 31 1/4P,GBX,"58,386.24","1,431.00",GSK.L
31,PSON,PEARSON PLC ORD 25P,GBX,"5,925.37",830.4,PSON.L
32,BT.A,BT GROUP PLC ORD 5P,GBX,"14,684.72",148.35,BT.L
33,SHEL,SHELL PLC ORD EUR0.07,GBX,"163,206.46","2,403.00",SHEL.L
34,DGE,DIAGEO PLC ORD 28 101/108P,GBX,"79,712.74","3,554.00",DGE.L
35,III,3I GROUP PLC ORD 73 19/22P,GBX,"18,940.73","1,952.00",III.L
36,ENT,ENTAIN PLC ORD EUR0.01,GBX,"8,753.27","1,491.00",ENT.L
37,PRU,PRUDENTIAL PLC ORD 5P,GBX,"32,570.44","1,186.00",PRU.L
38,SMDS,SMITH (DS) PLC ORD 10P,GBX,"4,366.52",317.7,SMDS.L
39,ABDN,ABRDN PLC ORD 13 61/63P,GBX,"4,238.01",212.1,ABDN.L
40,STJ,ST.JAMES'S PLACE PLC ORD 15P,GBX,"6,335.22","1,157.00",SJP.L
