,Y,buzz_News,buzz_News_Headline,buzz_News_Social,buzz_Social,innovation_News,innovation_News_Headline,innovation_News_Social,innovation_Social,laborDispute_News,laborDispute_News_Headline,laborDispute_News_Social,laborDispute_Social,layoffs_News,layoffs_News_Headline,layoffs_News_Social,layoffs_Social,managementTrust_News,managementTrust_News_Headline,managementTrust_News_Social,managementTrust_Social,mentions_News,mentions_News_Headline,mentions_News_Social,mentions_Social,ticker_
0,2022,1498.7,63.0,1879.7,381.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.0,0.166667,0.0,620.0,47.0,982.0,362.0,LAND
1,2023,934.0,13.0,979.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.176471,0.0,0.2,0.2,469.0,27.0,483.0,14.0,LAND
2,2022,15537.5,705.5,20170.6,4633.1,0.090909,0.142857,0.125,0.142857,0.0,0.0,0.0,0.0,0.083333,0.0,0.086957,0.095238,0.090909,0.0,0.047619,0.041667,3712.0,317.0,5664.0,1952.0,BLND
3,2023,7463.6,236.5,8992.5,1528.9,0.333333,0.0,0.072727,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.013158,0.019231,0.047059,0.0,0.042105,0.0,1909.0,120.0,2382.0,473.0,BLND
4,2022,72534.15,1474.0,85237.55,12703.4,0.025316,0.0,0.025,0.08,0.009852,0.0,0.022222,0.045455,0.084211,0.0,0.036851,0.0,0.117073,0.066667,0.081911,0.060606,12377.0,583.0,16391.0,4014.0,HL.
5,2023,40241.6,560.5,42207.1,1965.5,0.013986,0.0,0.012308,0.0,0.020833,0.0,0.021505,0.1,0.002488,0.0,0.002475,0.0,0.012955,0.005556,0.012914,0.0,7053.0,285.0,7692.0,639.0,HL.
6,2022,26860.95,1096.5,29203.95,2343.0,0.2,0.111111,0.2,0.2,0.0,0.0,0.076923,0.076923,0.0,0.0,0.0,0.0,0.076923,0.0,0.076923,0.0,7303.0,748.0,8151.0,848.0,MNDI
7,2023,9169.6,241.5,9606.6,437.0,0.117647,0.222222,0.117647,0.083333,0.027778,0.0,0.02381,0.0,0.0,0.0,0.0,0.0,0.106195,0.0,0.106195,0.0,2554.0,174.0,2680.0,126.0,MNDI
8,2022,6046.75,291.5,6931.25,884.5,0.023256,0.0,0.023256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044444,0.0,0.043478,0.0,1044.0,131.0,1536.0,492.0,KGF
9,2023,2258.5,177.0,2352.0,93.5,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014882,0.0,0.014331,0.0,561.0,66.0,596.0,35.0,KGF
10,2022,163310.95,11334.55,321288.8,157977.85,0.048426,0.035714,0.016913,0.0125,0.027548,0.033333,0.010096,0.007547,0.022727,0.064516,0.021955,0.021724,0.0553,0.057143,0.027125,0.044177,25685.0,5761.0,73377.0,47692.0,BARC
11,2023,78900.7,4660.2,144473.1,65572.4,0.019231,0.013072,0.008229,0.019417,0.015662,0.041667,0.005226,0.007203,0.005915,0.0,0.006993,0.025852,0.015456,0.0,0.019538,0.029254,13219.0,2648.0,30780.0,17561.0,BARC
12,2022,3809.0,227.5,4423.0,614.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003463,0.0,0.003428,0.0,1100.0,121.0,1405.0,305.0,UTG
13,2023,2804.0,133.0,2913.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007011,0.0,0.006832,0.0,777.0,64.0,823.0,46.0,UTG
14,2022,15607.1,926.0,20764.9,5157.8,0.166667,0.0,0.2,0.25,0.0,0.0,0.0625,0.0625,0.052632,0.0,0.037037,0.037037,0.02381,0.0,0.019417,0.0,4217.0,564.0,6078.0,1861.0,JMAT
