#,Company,Symbol,Weight,Price,Chg,% Chg,RIC
1,Apple Inc,AAPL,7.409167,171.95,0.11,-0.07%,AAPL.O
2,Microsoft Corp,MSFT,6.772895,321.74,7.89,-2.51%,MSFT.O
3,Amazon.com Inc,AMZN,3.018,114.81,-1.94,(-1.66%),AMZN.O
4,Nvidia Corp,NVDA,2.178252,381.85,76.47,-25.04%,NVDA.O
5,Alphabet Inc Cl A,GOOGL,2.087935,122.23,1.33,-1.10%,GOOGL.O
6,Alphabet Inc Cl C,GOOG,1.831304,123.14,1.5,-1.23%,GOOG.O
7,Berkshire Hathaway Inc Cl B,BRK.B,1.672788,319.08,-1.12,(-0.35%),BARK.K
8,Meta Platforms Inc Class A,META,1.608354,249.88,0.67,-0.27%,META.O
9,Tesla Inc,TSLA,1.426323,182.09,-0.81,(-0.44%),TSLA.O
10,Unitedhealth Group Inc,UNH,1.302693,480.2,-0.64,(-0.13%),UEEC.PK
11,Exxon Mobil Corp,XOM,1.284678,105.57,-2.02,(-1.88%),XOM
12,Johnson & Johnson,JNJ,1.187619,154.89,-1.77,(-1.13%),JNJ
13,Jpmorgan Chase & Co,JPM,1.151071,135.49,0.15,-0.11%,JPM
14,Visa Inc Class a Shares,V,1.047177,221.86,-0.39,(-0.18%),V
15,Procter & Gamble Co,PG,1.000969,145.42,-0.91,(-0.62%),PG
16,Eli Lilly & Co,LLY,0.973641,422.16,-3.61,(-0.85%),LLY
17,Mastercard Inc A,MA,0.901527,366.29,-2.21,(-0.60%),MA
18,Home Depot Inc,HD,0.860258,289.55,-1.55,(-0.53%),HD
19,Merck & Co. Inc.,MRK,0.835136,112.05,-1.55,(-1.36%),MRK
20,Broadcom Inc,AVGO,0.823395,695.33,15.8,-2.32%,AVGO.O
21,Chevron Corp,CVX,0.811239,154.84,-2.43,(-1.55%),CVX
22,Pepsico Inc,PEP,0.738341,183.37,-1.52,(-0.82%),PEP.O
23,Abbvie Inc,ABBV,0.723788,138.95,-2.2,(-1.56%),ABBV.K
24,Coca Cola Co,KO,0.68705,60.54,-0.34,(-0.55%),KO
25,Pfizer Inc,PFE,0.628754,37.9,-0.73,(-1.89%),PFE
26,Costco Wholesale Corp,COST,0.621116,482.1,-0.66,(-0.14%),COST.O
27,Mcdonald S Corp,MCD,0.607205,286.23,0.31,-0.11%,MCD
