versionCreated,text,storyId,sourceCode
2022-12-30 09:00:01.673000+00:00,STANDARD CHRTRD PLC  - BOARD COMMITTEE CHANGES,urn:newsml:newswire.refinitiv.com:20221230:nTUCBQHNQ0:1,NS:RTRS
2022-12-27 13:13:25+00:00,UPDATE 2-China issues rules to assess risks in foreign banks' Chinese branches,urn:newsml:newswire.refinitiv.com:20221227:nL1N33H0AV:2,NS:RTRS
2022-12-23 07:43:35+00:00,UPDATE 1-UK Stocks-Factors to watch on Dec. 23,urn:newsml:newswire.refinitiv.com:20221223:nL4N33D1BZ:1,NS:RTRS
2022-12-23 05:04:56+00:00,UK Stocks-Factors to watch on Dec. 23,urn:newsml:newswire.refinitiv.com:20221223:nL4N33D0TD:1,NS:RTRS
2022-12-23 00:33:17+00:00,PRESS DIGEST- Financial Times - Dec 23,urn:newsml:newswire.refinitiv.com:20221223:nL4N33D03Z:1,NS:RTRS
2022-12-22 16:07:01+00:00,Germany orders Standard Chartered to hold more capital,urn:newsml:newswire.refinitiv.com:20221222:nL1N33C19T:2,NS:RTRS
2022-12-22 15:12:30+00:00,MEDIA-German regulator rebukes Standard Chartered over European operations - FT,urn:newsml:newswire.refinitiv.com:20221222:nL4N33C2IF:1,NS:RTRS
2022-12-14 08:00:00+00:00,BARCLAYS INCREASES AMOUNT IT WILL INVEST IN CLIMATE STARTUPS TO 500 MILLION POUNDS - EXECUTIVE,urn:newsml:newswire.refinitiv.com:20221214:nL8N3334TK:2,NS:RTRS
2022-12-14 08:00:00+00:00,BARCLAYS INCREASES SUSTAINABLE FINANCING TARGET TO $1 TRILLION BY 2030 - EXECUTIVE,urn:newsml:newswire.refinitiv.com:20221214:nL8N3334TK:1,NS:RTRS
2022-12-14 08:00:00+00:00,EXCLUSIVE-Barclays turbocharges 2030 sustainable finance target to $1 trln,urn:newsml:newswire.refinitiv.com:20221214:nL8N3334TK:1,NS:RTRS
2022-12-13 13:00:10+00:00,"BUZZ-UBS adds BNP, Swedbank and UniCredit to top picks",urn:newsml:newswire.refinitiv.com:20221213:nL8N3333NX:2,NS:RTRS
2022-12-09 11:12:35+00:00,BUZZ-CS names top picks among European banks into 2023,urn:newsml:newswire.refinitiv.com:20221209:nL8N32Z1AD:1,NS:RTRS
2022-12-09 08:21:59+00:00,MEDIA-StanChart told to probe suspicious credit card charges in HK - Bloomberg News,urn:newsml:newswire.refinitiv.com:20221209:nL4N32Z1M4:1,NS:RTRS
2022-12-07 08:37:15+00:00,MEDIA-StanChart hires Asia investment-grade credit traders in rebuild - Bloomberg News,urn:newsml:newswire.refinitiv.com:20221207:nL4N32X22U:1,NS:RTRS
