versionCreated,text,storyId,sourceCode
2022-10-31 05:48:56.373000+00:00,SECURE TRUST BANK PLC <STBS.L>: PEEL HUNT CUTS TARGET PRICE TO 1145P FROM 1470P,urn:newsml:newswire.refinitiv.com:20221031:nFWN31W1DH:1,NS:RTRS
2022-10-27 06:32:49+00:00,BRIEF-Secure Trust Bank Says Q3 Core Net Loan Book Up 21.5%,urn:newsml:newswire.refinitiv.com:20221027:nTUC3CPCGV:1,NS:RTRS
2022-10-27 06:06:10.714000+00:00,SECURE TRUST BANK PLC - QTRLY TOTAL NEW BUSINESS LENDING GREW SIGNIFICANTLY YEAR-ON-YEAR,urn:newsml:newswire.refinitiv.com:20221027:nTUC3CPCGV:5,NS:RTRS
2022-10-27 06:05:55.881000+00:00,SECURE TRUST BANK PLC - QTRLY CORE NET LOAN BOOK GREW BY 21.5% COMPARED TO Q3 2021 AND 2.3% COMPARED TO Q2 2022.,urn:newsml:newswire.refinitiv.com:20221027:nTUC3CPCGV:4,NS:RTRS
2022-10-27 06:05:21.661000+00:00,SECURE TRUST BANK PLC - GROUP CONTINUES TO TRADE IN LINE WITH MANAGEMENT'S EXPECTATIONS.,urn:newsml:newswire.refinitiv.com:20221027:nTUC3CPCGV:3,NS:RTRS
2022-10-27 06:05:16.798000+00:00,SECURE TRUST BANK PLC - POSITIVE MOMENTUM HAS CONTINUED IN Q3,urn:newsml:newswire.refinitiv.com:20221027:nTUC3CPCGV:2,NS:RTRS
2022-10-27 06:00:10.820000+00:00,SECURE TRUST BANKPLC  - Q3 2022 TRADING UPDATE,urn:newsml:newswire.refinitiv.com:20221027:nTUC3CPCGV:1,NS:RTRS
2022-09-21 06:00:11.483000+00:00,SECURE TRUST BANKPLC  - DIRECTORATE CHANGE,urn:newsml:newswire.refinitiv.com:20220921:nTUC1JCXVH:1,NS:RTRS
2022-08-08 04:49:15.999000+00:00,"SECURE TRUST BANK PLC <STBS.L>: PEEL HUNT CUTS TARGET PRICE TO 1,470P FROM 1,600P",urn:newsml:newswire.refinitiv.com:20220808:nFWN2ZK025:1,NS:RTRS
2022-08-04 12:46:24+00:00,BUZZ-Secure Trust Bank posts biggest one-day drop in over 2 yrs on lower H1 profit,urn:newsml:newswire.refinitiv.com:20220804:nL4N2ZG37M:1,NS:RTRS
2022-08-04 06:42:47+00:00,BRIEF-Secure Trust Bank HY Pretax Profit From Cont Ops 17.1 Mln STG,urn:newsml:newswire.refinitiv.com:20220804:nASM000M5G:1,NS:RTRS
