,Instrument,ESG Controversies Score Grade,ESG Controversies Score,Date
0,AAPL.O,D-,3.125,2021-09-25T00:00:00Z
1,AAPL.O,D-,3.33333333333333,2020-09-26T00:00:00Z
2,AAPL.O,D-,5.0,2019-09-28T00:00:00Z
3,AAPL.O,D-,3.84615384615384,2018-09-29T00:00:00Z
4,AAPL.O,D,13.6363636363636,2017-09-30T00:00:00Z
5,AAPL.O,D,13.6363636363636,2016-09-24T00:00:00Z
6,AAPL.O,D-,5.55555555555555,2015-09-26T00:00:00Z
7,AAPL.O,D-,3.33333333333333,2014-09-27T00:00:00Z
8,AAPL.O,D-,3.57142857142857,2013-09-28T00:00:00Z
9,AAPL.O,D-,3.125,2012-09-29T00:00:00Z
10,AAPL.O,D-,2.77777777777777,2011-09-24T00:00:00Z
0,MSFT.O,D-,3.84615384615384,2021-06-30T00:00:00Z
1,MSFT.O,D,10.8695652173913,2020-06-30T00:00:00Z
2,MSFT.O,C-,30.3030303030303,2019-06-30T00:00:00Z
3,MSFT.O,D-,5.83333333333333,2018-06-30T00:00:00Z
4,MSFT.O,D-,8.13953488372093,2017-06-30T00:00:00Z
5,MSFT.O,D-,4.83870967741935,2016-06-30T00:00:00Z
6,MSFT.O,C-,30.4347826086956,2015-06-30T00:00:00Z
7,MSFT.O,D,8.33333333333333,2014-06-30T00:00:00Z
8,MSFT.O,D-,6.52173913043478,2013-06-30T00:00:00Z
9,MSFT.O,D,13.6363636363636,2012-06-30T00:00:00Z
10,MSFT.O,D+,16.6666666666666,2011-06-30T00:00:00Z
0,AMZN.O,D-,1.92307692307692,2021-12-31T00:00:00Z
1,AMZN.O,D-,2.5,2020-12-31T00:00:00Z
2,AMZN.O,D-,2.63157894736842,2019-12-31T00:00:00Z
3,AMZN.O,D,10.0,2018-12-31T00:00:00Z
4,AMZN.O,D-,4.16666666666666,2017-12-31T00:00:00Z
5,AMZN.O,D-,7.14285714285714,2016-12-31T00:00:00Z
6,AMZN.O,C-,28.5714285714285,2015-12-31T00:00:00Z
7,AMZN.O,D,15.625,2014-12-31T00:00:00Z
8,AMZN.O,C,39.2857142857142,2013-12-31T00:00:00Z
9,AMZN.O,D,15.0,2012-12-31T00:00:00Z
10,AMZN.O,C+,50.0,2011-12-31T00:00:00Z
0,NVDA.O,B+,72.7272727272727,2021-01-31T00:00:00Z
1,NVDA.O,D,15.7894736842105,2020-01-26T00:00:00Z
2,NVDA.O,C,36.6666666666666,2019-01-27T00:00:00Z
3,NVDA.O,A,85.7142857142857,2018-01-28T00:00:00Z
4,NVDA.O,A+,100.0,2017-01-29T00:00:00Z
5,NVDA.O,A+,100.0,2016-01-31T00:00:00Z
6,NVDA.O,A+,100.0,2015-01-25T00:00:00Z
7,NVDA.O,A+,100.0,2014-01-26T00:00:00Z
8,NVDA.O,A+,100.0,2013-01-27T00:00:00Z
9,NVDA.O,A+,100.0,2012-01-29T00:00:00Z
10,NVDA.O,A+,100.0,2011-01-30T00:00:00Z
0,GOOGL.O,D-,1.15384615384615,2021-12-31T00:00:00Z
1,GOOGL.O,D-,1.63043478260869,2020-12-31T00:00:00Z
2,GOOGL.O,D-,3.03030303030303,2019-12-31T00:00:00Z
3,GOOGL.O,D-,2.5,2018-12-31T00:00:00Z
