,Instrument,ESG Controversies Score Grade,ESG Controversies Score,Date
0,LAND.L,A+,100.0,2022-03-31T00:00:00Z
1,LAND.L,A+,100.0,2021-03-31T00:00:00Z
2,LAND.L,A+,100.0,2020-03-31T00:00:00Z
3,LAND.L,A+,100.0,2019-03-31T00:00:00Z
4,LAND.L,A+,100.0,2018-03-31T00:00:00Z
5,LAND.L,A+,100.0,2017-03-31T00:00:00Z
6,LAND.L,A+,100.0,2016-03-31T00:00:00Z
7,LAND.L,A+,100.0,2015-03-31T00:00:00Z
8,LAND.L,A+,100.0,2014-03-31T00:00:00Z
9,LAND.L,A+,100.0,2013-03-31T00:00:00Z
10,LAND.L,A+,100.0,2012-03-31T00:00:00Z
0,BLND.L,A+,100.0,2022-03-31T00:00:00Z
1,BLND.L,A+,100.0,2021-03-31T00:00:00Z
2,BLND.L,A+,100.0,2020-03-31T00:00:00Z
3,BLND.L,A+,100.0,2019-03-31T00:00:00Z
4,BLND.L,A+,100.0,2018-03-31T00:00:00Z
5,BLND.L,A+,100.0,2017-03-31T00:00:00Z
6,BLND.L,A+,100.0,2016-03-31T00:00:00Z
7,BLND.L,A+,100.0,2015-03-31T00:00:00Z
8,BLND.L,A+,100.0,2014-03-31T00:00:00Z
9,BLND.L,A+,100.0,2013-03-31T00:00:00Z
10,BLND.L,A+,100.0,2012-03-31T00:00:00Z
0,HRGV.L,C,36.4864864864864,2022-06-30T00:00:00Z
1,HRGV.L,A+,100.0,2021-06-30T00:00:00Z
2,HRGV.L,D+,16.6666666666666,2020-06-30T00:00:00Z
3,HRGV.L,B+,73.6111111111111,2019-06-30T00:00:00Z
4,HRGV.L,A+,100.0,2018-06-30T00:00:00Z
5,HRGV.L,A+,100.0,2017-06-30T00:00:00Z
6,HRGV.L,A+,100.0,2016-06-30T00:00:00Z
7,HRGV.L,A+,100.0,2015-06-30T00:00:00Z
8,HRGV.L,A+,100.0,2014-06-30T00:00:00Z
9,HRGV.L,A+,100.0,2013-06-30T00:00:00Z
10,HRGV.L,A+,100.0,2012-06-30T00:00:00Z
0,MNDI.L,A+,100.0,2022-12-31T00:00:00Z
1,MNDI.L,A+,100.0,2021-12-31T00:00:00Z
2,MNDI.L,A+,100.0,2020-12-31T00:00:00Z
3,MNDI.L,A+,100.0,2019-12-31T00:00:00Z
4,MNDI.L,A+,100.0,2018-12-31T00:00:00Z
5,MNDI.L,B+,66.6666666666666,2017-12-31T00:00:00Z
6,MNDI.L,A+,100.0,2016-12-31T00:00:00Z
7,MNDI.L,A+,100.0,2015-12-31T00:00:00Z
8,MNDI.L,A+,100.0,2014-12-31T00:00:00Z
9,MNDI.L,A+,100.0,2013-12-31T00:00:00Z
10,MNDI.L,A+,100.0,2012-12-31T00:00:00Z
0,KGF.L,A+,100.0,2022-01-31T00:00:00Z
